"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 27 11:52:14 GMT 2025","Wed Aug 27 11:52:20 GMT 2025","6356","","test_product_page","TestLoginFromProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Wed Aug 27 11:52:12 GMT 2025","Wed Aug 27 11:52:13 GMT 2025","519","","test_product_page","TestLoginFromProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Wed Aug 27 11:52:27 GMT 2025","Wed Aug 27 11:52:29 GMT 2025","2397","","test_product_page","TestUserAddToBasketFromProductPage","","","Registered user adds item to the basket",""
"passed","Wed Aug 27 11:52:21 GMT 2025","Wed Aug 27 11:52:23 GMT 2025","2443","","test_product_page","TestGuesAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket",""
